epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,1.3476087267816703,0.4697814969781497,1.1147459657568681,0.5868421052631579,211.2
2,1.1515070575162567,0.5769409576940958,1.0074358764447664,0.65,540.8
3,1.0501596472918406,0.6101813110181311,1.0669285510715685,0.6368421052631579,796.7
4,0.9777410211035508,0.6362157136215714,0.9045611682691073,0.7118421052631579,764.2
5,0.9590596920221365,0.6401673640167364,0.8726887439426623,0.7552631578947369,835.0
6,0.8980890356735095,0.6603905160390516,0.8148649523132726,0.7289473684210527,829.9
7,0.8604329103428172,0.6766620176662018,0.7797415676869844,0.7539473684210526,894.6
8,0.8141554370418586,0.689679218967922,0.7778728108657034,0.7276315789473684,1046.7
9,0.805265126922196,0.703858670385867,0.8023641686690481,0.6855263157894737,869.8
10,0.7811379386125084,0.6908414690841469,0.8862222056639822,0.7657894736842106,914.4
11,0.753125653522949,0.7154811715481172,0.7486540480663902,0.7736842105263158,1021.5
12,0.7359610484234957,0.7194328219432822,0.805845510332208,0.6092105263157894,1111.3
13,0.7591773568059832,0.7145513714551371,0.7642078625528436,0.7907894736842105,957.3
14,0.7000399074793859,0.7280334728033473,0.7345477342605591,0.7921052631578948,813.9
15,0.696075247532265,0.7280334728033473,0.7725906158748426,0.8197368421052632,814.6
