epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,1.422282119204088,0.43537889353788933,1.3347729846050864,0.5210526315789473,2371.9
2,1.1929856656818043,0.5699674569967457,1.1304201050808556,0.5842105263157895,2288.1
3,1.1228101024069048,0.5904230590423059,1.1194229088331524,0.6657894736842105,1666.6
4,1.070342135784073,0.6104137610413761,1.0694044226094297,0.6223684210526316,1511.7
5,1.0432536437975868,0.6229660622966062,1.0437177532597592,0.5184210526315789,1372.2
6,1.0147818855106525,0.6215713621571363,1.0299867052780955,0.6578947368421053,1347.5
7,0.9976559815047675,0.6371455137145514,1.041988660159864,0.5421052631578948,1289.2
8,0.9913973332227302,0.6327289632728963,0.9999780466682032,0.6394736842105263,1444.8
9,0.9672008375964127,0.6401673640167364,1.0170747292669196,0.6078947368421053,1465.8
10,0.9950242725320885,0.6313342631334263,1.0376519868248388,0.7105263157894737,1263.6
